ball_initial_pos_x,ball_initial_pos_y,ball_initial_pos_z,distance_ball_robot,estimated_initial_velocity_x,estimated_initial_velocity_y,estimated_initial_velocity_z,estimated_hitting_point_y,estimated_hitting_point_z,real_hitting_point_y,real_hitting_point_z,delta_y,delta_z,
-1.1404904348841838,0.29459225245954096,2.283251598824787,2.8404904348841837,6.7864791441764005,0.2828699774301846,-2.1568293588642007,0.41298788119964147,1.7379690943395902,0.4039223062237693,1.6454232063369119,-0.009065574975872182,-0.09254588800267838,
-1.1803215376315168,0.35090188061612154,2.4445390644436076,2.8803215376315165,5.539834933901933,0.31701861606843185,-1.675709275396784,0.515729092723847,1.9043948374447945,0.4955750601168686,1.792978935683356,-0.020154032606978456,-0.11141590176143845,
-1.2199276187579582,0.4106819463195011,1.6809033905889348,2.919927618757958,5.299524306563228,0.08771406374862067,-0.7313474136390496,0.4590105702633336,1.706518701591544,0.4489908833876091,1.0830221049556128,-0.010019686875724465,-0.6234965966359312,
-1.004862423404454,0.39631237432364125,2.437849497749056,2.704862423404454,4.781936653884973,-0.19438454575798847,-0.7618161760949249,0.2863603838295459,1.7827821216652147,0.26753081727352473,1.677947232707779,-0.018829566556021138,-0.10483488895743576,
-1.887073849713485,-0.13012227752249644,1.729989226731002,3.5870738497134846,7.763680807082114,0.4969117905040976,-0.4701191746194944,0.09946718315002054,1.623977702200553,0.09538676851561854,1.440745510746892,-0.004080414634401994,-0.183232191453661,
-1.8564874132675036,-0.2016279556301776,1.979885206020285,3.5564874132675035,6.199451314226927,-0.1039293244991768,-0.7477694122039402,-0.2612498988822327,1.87921457471863,-0.2738611749748842,1.4013818298750313,-0.012611276092651502,-0.4778327448435986,
-1.3092327113615962,-0.12716458298875172,2.3118109272564413,3.009232711361596,5.010792018364061,0.4189686708968887,-0.6255249759882986,0.12444718315081166,1.9000843704404384,0.10311612935802386,1.6537048211649203,-0.021331053792787796,-0.24637954927551808,
-1.203511933295261,-0.4438728573475193,2.4330882391772692,2.903511933295261,7.275376561484599,0.30622942894869887,-2.3780070024008637,-0.3216605163415846,1.626417640211019,-0.32963410268104787,1.6453221744723687,-0.007973586339463268,0.018904534261349637,
-1.306038197638965,-0.36076711568675585,2.263096767623665,3.006038197638965,6.90712049113678,-0.3950871446143145,-2.2307007274476476,-0.5327124364077029,1.831471199830699,-0.5446179539274341,1.672726930223647,-0.011905517519731124,-0.158744269607052,
-1.77952378586766,-0.4297648874939866,1.6159422411044637,3.47952378586766,6.047829753072325,0.30132205291101943,0.2268987861948979,-0.2564039806698908,1.613437705178226,-0.26198193692861116,1.1464900129215922,-0.0055779562587203735,-0.4669476922566338,
